Months_Inactive_12_mon,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
3,0.00030251,0.9997
2,0.00017969,0.99982
2,0.00012082,0.99988
3,0.00027607,0.99972
3,0.00017987,0.99982
4,0.00022797,0.99977
4,0.00023192,0.99977
1,5.7151e-05,0.99994
3,0.00017987,0.99982
4,8.3212e-05,0.99992
2,0.00011743,0.99988
4,0.99763,0.00236635
3,0.00028395,0.99972
4,0.00020404,0.9998
3,6.6354e-05,0.99993
2,6.6728e-05,0.99993
2,0.00020424,0.9998
3,0.00010943,0.99989
3,0.00033251,0.99967
2,0.00011065,0.99989
3,6.765e-05,0.99993
4,0.00034315,0.99966
4,0.0001125,0.99989
1,6.282e-05,0.99994
4,0.00034315,0.99966
4,0.00022556,0.99977
3,0.00027008,0.99973
2,4.2358e-05,0.99996
3,0.997,0.00299743
4,8.0901e-05,0.99992
3,0.00031177,0.99969
2,0.00011811,0.99988
3,0.00030251,0.9997
3,6.6935e-05,0.99993
3,0.00037329,0.99963
1,6.4807e-05,0.99994
2,0.00018475,0.99982
0,7.7559e-06,0.99999
3,0.00020735,0.99979
3,6.9589e-05,0.99993
3,0.00034503,0.99965
1,5.6153e-05,0.99994
2,0.00010043,0.9999
1,2.1081e-05,0.99998
2,0.00010684,0.99989
2,4.2354e-05,0.99996
1,0.00015942,0.99984
6,0.00032436,0.99968
2,0.0001861,0.99981
2,0.00011382,0.99989
1,2.7596e-05,0.99997
2,0.00010386,0.9999
3,0.00030516,0.99969
3,0.00015801,0.99984
2,0.00011811,0.99988
1,2.1307e-05,0.99998
3,0.99447,0.00553
1,5.3542e-05,0.99995
2,9.9255e-05,0.9999
1,5.1697e-05,0.99995
1,6.3492e-05,0.99994
2,0.00020077,0.9998
1,0.00014834,0.99985
1,0.00013405,0.99987
1,2.1081e-05,0.99998
3,0.00017486,0.99983
1,2.0715e-05,0.99998
2,0.0001747,0.99983
2,0.00013393,0.99987
3,0.99672,0.00328187
2,0.00019751,0.9998
3,0.00018864,0.99981
2,0.00017969,0.99982
3,0.99639,0.00360825
2,0.99518,0.00481999
3,0.00017987,0.99982
2,4.1986e-05,0.99996
1,9.7154e-05,0.9999
1,9.0056e-05,0.99991
1,2.0494e-05,0.99998
2,0.00017969,0.99982
2,0.00016236,0.99984
2,0.00012274,0.99988
2,0.0001747,0.99983
3,0.00034328,0.99966
1,9.4447e-05,0.99991
1,0.00012583,0.99987
3,0.00016711,0.99983
3,0.00011377,0.99989
2,5.7261e-05,0.99994
3,0.00027607,0.99972
2,0.00010985,0.99989
5,0.00038948,0.99961
2,0.00020643,0.99979
1,5.8763e-05,0.99994
1,2.1676e-05,0.99998
3,0.0003262,0.99967
3,0.99681,0.00319072
2,0.00011482,0.99989
3,0.0003262,0.99967
3,0.00027604,0.99972
2,0.98692,0.01308
1,8.1371e-05,0.99992
1,5.5559e-05,0.99994
2,0.00011751,0.99988
1,5.8763e-05,0.99994
3,0.00016883,0.99983
3,6.1645e-05,0.99994
2,0.00018475,0.99982
2,7.0576e-05,0.99993
2,0.00019864,0.9998
3,6.4038e-05,0.99994
2,0.00010684,0.99989
1,5.7151e-05,0.99994
2,7.3235e-05,0.99993
1,2.4806e-05,0.99998
1,7.7286e-05,0.99992
1,5.3542e-05,0.99995
1,0.000109,0.99989
3,0.00010182,0.9999
2,4.4033e-05,0.99996
2,0.00019864,0.9998
3,9.9638e-05,0.9999
1,4.0349e-05,0.99996
1,5.5559e-05,0.99994
2,0.0001597,0.99984
3,0.00011574,0.99988
3,0.99338,0.00662
1,5.0261e-05,0.99995
3,7.6492e-05,0.99992
5,0.00034882,0.99965
5,0.00034086,0.99966
2,6.5045e-05,0.99993
2,0.00010284,0.9999
2,9.3844e-05,0.99991
4,0.99727,0.00272694
3,0.9972,0.00280059
1,5.1697e-05,0.99995
3,6.4511e-05,0.99994
1,5.3542e-05,0.99995
2,0.00016316,0.99984
3,0.0003139,0.99969
2,0.00011482,0.99989
3,0.00018339,0.99982
2,0.00018612,0.99981
2,4.4033e-05,0.99996
1,6.3492e-05,0.99994
1,5.5559e-05,0.99994
1,8.9305e-05,0.99991
1,0.00010183,0.9999
1,1.9607e-05,0.99998
3,6.9589e-05,0.99993
2,0.00019864,0.9998
2,0.00011382,0.99989
3,6.4505e-05,0.99994
1,5.5564e-05,0.99994
4,0.00020195,0.9998
1,9.2637e-05,0.99991
3,0.00030251,0.9997
4,0.99717,0.00282527
3,7.2936e-05,0.99993
2,0.00011751,0.99988
2,0.00013897,0.99986
3,0.00027607,0.99972
3,0.00017488,0.99983
3,0.99659,0.00341249
3,0.0003139,0.99969
3,0.00031104,0.99969
1,6.3492e-05,0.99994
3,0.997,0.00299743
2,0.00011065,0.99989
2,0.99482,0.00518
3,0.99432,0.00568
2,0.00019143,0.99981
2,0.00012144,0.99988
3,0.00027008,0.99973
3,0.99677,0.00323086
1,5.7151e-05,0.99994
1,7.9702e-05,0.99992
1,6.7249e-05,0.99993
3,0.00015005,0.99985
3,0.00058851,0.99941
4,0.99673,0.00326713
2,0.0001597,0.99984
3,0.00029408,0.99971
1,2.342e-05,0.99998
2,0.00010985,0.99989
3,6.8225e-05,0.99993
3,0.00016883,0.99983
2,0.00018612,0.99981
4,0.9925,0.0075
3,0.00020735,0.99979
3,0.00018558,0.99981
1,9.5249e-05,0.9999
2,0.00011382,0.99989
2,0.00012982,0.99987
3,0.00018864,0.99981
3,0.99605,0.00394582
3,0.00031231,0.99969
1,0.00010566,0.99989
3,6.8225e-05,0.99993
2,0.00010043,0.9999
3,6.9589e-05,0.99993
3,0.00030516,0.99969
2,0.00012274,0.99988
1,0.98217,0.01783
2,4.5275e-05,0.99995
2,0.00012274,0.99988
1,9.4447e-05,0.99991
3,0.00015255,0.99985
3,6.765e-05,0.99993
2,0.00018475,0.99982
3,0.99061,0.00939
1,4.7263e-05,0.99995
1,1.7925e-05,0.99998
3,0.99661,0.00338788
3,0.00018864,0.99981
2,0.99169,0.00831
2,0.00028744,0.99971
3,0.00018665,0.99981
3,0.00027297,0.99973
4,0.00052896,0.99947
1,5.5077e-05,0.99994
3,6.4511e-05,0.99994
1,7.7279e-05,0.99992
3,0.00017486,0.99983
2,0.0001597,0.99984
3,6.0547e-05,0.99994
3,0.00018145,0.99982
2,0.0001443,0.99986
3,0.00018494,0.99982
3,8.1018e-05,0.99992
2,0.00022488,0.99978
2,0.00012144,0.99988
3,6.6354e-05,0.99993
1,3.3505e-05,0.99997
3,0.00018864,0.99981
3,0.00017987,0.99982
1,3.5816e-05,0.99996
2,0.00011065,0.99989
2,3.6029e-05,0.99996
2,0.00011703,0.99988
6,0.00014734,0.99985
3,0.99683,0.00317458
3,0.00017987,0.99982
3,0.00018145,0.99982
2,6.4745e-05,0.99994
2,4.2806e-05,0.99996
5,0.0001953,0.9998
2,5.8902e-05,0.99994
2,0.00017949,0.99982
1,5.663e-05,0.99994
3,0.00026573,0.99973
3,6.8225e-05,0.99993
3,0.00030516,0.99969
2,0.00010985,0.99989
3,0.00021165,0.99979
2,0.00013897,0.99986
3,0.00034503,0.99965
2,4.3568e-05,0.99996
1,8.6952e-05,0.99991
1,2.1907e-05,0.99998
1,5.1697e-05,0.99995
3,0.0002822,0.99972
3,0.00016413,0.99984
3,0.00028395,0.99972
3,0.99497,0.00503
2,6.9242e-05,0.99993
3,0.00027604,0.99972
1,5.7762e-05,0.99994
3,6.8225e-05,0.99993
3,0.0003139,0.99969
4,0.99717,0.00282527
1,4.5946e-05,0.99995
2,0.00017969,0.99982
1,2.0494e-05,0.99998
3,0.00017486,0.99983
3,0.00030361,0.9997
1,4.8595e-05,0.99995
4,0.00021738,0.99978
1,9.3448e-05,0.99991
3,0.00018665,0.99981
2,4.1986e-05,0.99996
3,0.0001736,0.99983
2,0.00020077,0.9998
2,4.0521e-05,0.99996
2,0.00012144,0.99988
1,7.9494e-05,0.99992
3,0.00018494,0.99982
3,0.000498,0.9995
1,2.0316e-05,0.99998
3,0.00030842,0.99969
2,0.00019143,0.99981
3,0.00017987,0.99982
3,0.00034872,0.99965
3,0.00031726,0.99968
2,0.00011382,0.99989
3,6.6354e-05,0.99993
3,0.00017486,0.99983
3,0.00015871,0.99984
3,7.6492e-05,0.99992
2,0.00020077,0.9998
5,0.00034447,0.99966
2,3.8311e-05,0.99996
3,0.00022196,0.99978
3,0.00030842,0.99969
3,0.00018665,0.99981
2,0.00018475,0.99982
2,0.00022248,0.99978
2,3.7937e-05,0.99996
2,0.00020077,0.9998
2,0.00019683,0.9998
3,0.00029408,0.99971
3,0.00016413,0.99984
2,0.00019143,0.99981
5,0.99761,0.00239178
3,0.00016883,0.99983
1,1.9163e-05,0.99998
2,0.00019143,0.99981
2,0.00011382,0.99989
1,5.5564e-05,0.99994
1,9.3448e-05,0.99991
1,3.8289e-05,0.99996
3,0.00033411,0.99967
1,2.1676e-05,0.99998
1,5.2192e-05,0.99995
3,0.00010944,0.99989
3,0.00025237,0.99975
2,0.00010985,0.99989
3,0.00029196,0.99971
3,0.9968,0.00320374
3,6.6941e-05,0.99993
1,0.00010679,0.99989
5,0.0001953,0.9998
3,6.2282e-05,0.99994
3,0.99674,0.00326498
2,3.7937e-05,0.99996
2,6.3239e-05,0.99994
3,0.00017987,0.99982
3,0.0001736,0.99983
1,3.1176e-05,0.99997
3,8.1018e-05,0.99992
3,0.00011924,0.99988
2,0.00010374,0.9999
2,4.9404e-05,0.99995
3,0.99671,0.00329379
3,0.00019771,0.9998
3,0.00019094,0.99981
1,0.00010566,0.99989
3,0.99467,0.00533
2,0.00011811,0.99988
2,0.0001597,0.99984
3,0.0003139,0.99969
2,0.00010486,0.9999
3,0.00030516,0.99969
3,0.9968,0.00320374
1,2.0713e-05,0.99998
1,3.3505e-05,0.99997
3,0.99714,0.00285845
3,0.00011377,0.99989
1,6.3492e-05,0.99994
3,0.00028535,0.99971
3,6.4511e-05,0.99994
1,4.5946e-05,0.99995
1,9.2637e-05,0.99991
1,9.9893e-05,0.9999
1,6.054e-05,0.99994
2,0.00029051,0.99971
1,0.00010183,0.9999
1,2.0961e-05,0.99998
3,0.00018665,0.99981
2,0.00019864,0.9998
2,0.00020517,0.99979
2,6.6734e-05,0.99993
3,6.6354e-05,0.99993
2,0.99073,0.00927
1,0.97155,0.02845
2,6.4428e-05,0.99994
3,0.00020412,0.9998
3,0.00018145,0.99982
3,0.99447,0.00553
1,9.5577e-05,0.9999
1,5.8763e-05,0.99994
1,2.0713e-05,0.99998
3,0.9968,0.00320374
2,0.00012144,0.99988
1,3.9082e-05,0.99996
1,5.0256e-05,0.99995
2,0.00010684,0.99989
1,4.7263e-05,0.99995
2,7.0819e-05,0.99993
2,0.00012274,0.99988
1,0.99124,0.00876
2,0.00019864,0.9998
2,4.9404e-05,0.99995
2,0.00019143,0.99981
3,0.99462,0.00538
3,7.2936e-05,0.99993
3,0.0001736,0.99983
3,0.00018162,0.99982
2,0.00017004,0.99983
2,0.00011703,0.99988
2,0.99466,0.00534
3,6.8853e-05,0.99993
3,0.99547,0.00453174
3,0.00018145,0.99982
6,0.00013328,0.99987
1,1.8538e-05,0.99998
1,0.00010679,0.99989
3,0.00031104,0.99969
2,0.00010684,0.99989
3,0.00031726,0.99968
3,0.00022196,0.99978
1,8.6952e-05,0.99991
1,5.5559e-05,0.99994
3,0.00018665,0.99981
2,0.00011382,0.99989
2,4.2358e-05,0.99996
1,5.0261e-05,0.99995
1,9.3448e-05,0.99991
1,2.0494e-05,0.99998
1,5.3155e-05,0.99995
1,4.595e-05,0.99995
3,0.00016883,0.99983
1,2.0713e-05,0.99998
2,0.00013121,0.99987
3,0.00027607,0.99972
2,4.3319e-05,0.99996
2,0.0001747,0.99983
3,6.9589e-05,0.99993
3,0.00027604,0.99972
1,9.3457e-05,0.99991
1,2.0392e-05,0.99998
3,0.00019191,0.99981
2,3.8311e-05,0.99996
3,0.00022196,0.99978
1,6.7249e-05,0.99993
3,9.8983e-05,0.9999
3,0.99691,0.00308778
3,0.00031104,0.99969
2,0.00012982,0.99987
2,4.0816e-05,0.99996
2,0.00020077,0.9998
3,0.00030251,0.9997
2,0.00011605,0.99988
1,1.9069e-05,0.99998
2,0.00017969,0.99982
1,7.8567e-05,0.99992
2,0.99496,0.00504
2,4.7889e-05,0.99995
3,0.00015435,0.99985
3,0.99639,0.00360825
2,0.00013228,0.99987
3,0.0001106,0.99989
1,5.9391e-05,0.99994
1,5.7762e-05,0.99994
3,6.2588e-05,0.99994
3,0.00047034,0.99953
3,0.00016413,0.99984
2,0.00019864,0.9998
2,4.082e-05,0.99996
2,9.4951e-05,0.99991
3,0.00016966,0.99983
2,0.9964,0.00359603
3,9.9638e-05,0.9999
3,0.00018145,0.99982
5,0.99705,0.00294997
3,0.00034872,0.99965
3,6.2282e-05,0.99994
1,9.0056e-05,0.99991
3,0.0001834,0.99982
2,4.4033e-05,0.99996
1,6.4807e-05,0.99994
3,0.00029411,0.99971
3,0.00028395,0.99972
1,9.2637e-05,0.99991
2,0.00019751,0.9998
3,0.99223,0.00777
2,0.99431,0.00569
2,4.317e-05,0.99996
2,0.00015117,0.99985
2,0.00035894,0.99964
3,0.00016415,0.99984
3,0.00010848,0.99989
2,4.8401e-05,0.99995
2,0.00011937,0.99988
3,0.00017987,0.99982
3,0.00011061,0.99989
3,0.99338,0.00662
1,4.7263e-05,0.99995
3,0.00015871,0.99984
1,3.0508e-05,0.99997
3,0.0002596,0.99974
5,0.99697,0.00303398
2,9.7673e-05,0.9999
3,0.00018864,0.99981
3,0.00018339,0.99982
3,0.99207,0.00793
2,3.9007e-05,0.99996
6,0.00015311,0.99985
2,0.00011483,0.99989
2,6.9242e-05,0.99993
1,5.6825e-05,0.99994
1,1.9069e-05,0.99998
2,0.00020077,0.9998
2,0.00016471,0.99984
1,5.0408e-05,0.99995
2,0.0001861,0.99981
3,0.00030519,0.99969
3,0.99639,0.00360825
2,0.99431,0.00569
1,9.4447e-05,0.99991
2,0.99156,0.00844
1,5.3542e-05,0.99995
2,6.864e-05,0.99993
3,7.2936e-05,0.99993
1,3.3214e-05,0.99997
2,9.7673e-05,0.9999
1,3.5816e-05,0.99996
1,5.0408e-05,0.99995
1,5.3155e-05,0.99995
5,7.4762e-05,0.99993
4,0.99747,0.00252933
1,0.99286,0.00714
2,0.00010043,0.9999
2,0.99183,0.00817
2,0.00013121,0.99987
1,0.98965,0.01035
2,0.00012511,0.99987
3,0.00015697,0.99984
2,9.4951e-05,0.99991
3,5.8546e-05,0.99994
2,0.00011382,0.99989
2,0.99447,0.00553
5,0.00018334,0.99982
1,2.1307e-05,0.99998
2,0.00010684,0.99989
2,0.00023373,0.99977
2,0.00019864,0.9998
2,4.2806e-05,0.99996
3,0.00020735,0.99979
1,5.7151e-05,0.99994
1,7.7286e-05,0.99992
3,0.0003139,0.99969
3,0.00029411,0.99971
2,0.00019864,0.9998
3,5.694e-05,0.99994
2,0.00011482,0.99989
1,9.3448e-05,0.99991
2,0.00013897,0.99986
1,5.3542e-05,0.99995
1,2.1081e-05,0.99998
3,0.00020516,0.99979
1,0.98902,0.01098
2,0.00023623,0.99976
1,0.99286,0.00714
3,0.00018146,0.99982
2,0.00011811,0.99988
1,6.282e-05,0.99994
1,5.5077e-05,0.99994
2,3.941e-05,0.99996
1,9.2637e-05,0.99991
3,5.8284e-05,0.99994
3,0.0001736,0.99983
2,0.00018612,0.99981
2,0.00019864,0.9998
2,0.00011382,0.99989
3,0.0003139,0.99969
2,4.7889e-05,0.99995
3,0.99649,0.00350838
2,0.00011065,0.99989
1,9.6126e-05,0.9999
1,5.5559e-05,0.99994
3,0.00033251,0.99967
1,9.5249e-05,0.9999
3,0.00018665,0.99981
2,0.00013897,0.99986
2,4.0816e-05,0.99996
1,0.98932,0.01068
1,0.00011683,0.99988
1,5.7151e-05,0.99994
2,0.00020424,0.9998
2,0.99146,0.00854
1,7.7286e-05,0.99992
1,5.663e-05,0.99994
3,0.00031726,0.99968
1,0.99028,0.00972
1,5.7762e-05,0.99994
3,0.99616,0.0038363
2,0.00010985,0.99989
2,0.00010684,0.99989
1,0.0001391,0.99986
1,9.6126e-05,0.9999
4,0.00037935,0.99962
3,0.00029408,0.99971
1,5.3542e-05,0.99995
2,0.00010736,0.99989
3,0.00018665,0.99981
2,0.00012101,0.99988
3,0.00032275,0.99968
2,0.00019751,0.9998
2,0.00011703,0.99988
1,9.3448e-05,0.99991
1,5.5564e-05,0.99994
1,9.4447e-05,0.99991
1,8.453e-05,0.99992
1,0.98941,0.01059
3,0.00016883,0.99983
1,9.8837e-05,0.9999
2,0.0001546,0.99985
3,0.00022196,0.99978
1,9.7154e-05,0.9999
4,0.00035539,0.99964
1,9.2982e-05,0.99991
3,0.00043772,0.99956
2,0.00010386,0.9999
3,0.00016413,0.99984
2,6.0563e-05,0.99994
3,0.99677,0.00323086
3,6.6354e-05,0.99993
2,0.99129,0.00871
1,5.7369e-05,0.99994
3,0.00018864,0.99981
3,0.00015435,0.99985
1,5.3096e-05,0.99995
1,2.0494e-05,0.99998
2,0.0001861,0.99981
3,0.00048435,0.99952
3,0.00018146,0.99982
2,0.00010985,0.99989
2,7.0819e-05,0.99993
3,0.00017488,0.99983
3,0.00031104,0.99969
3,0.00043772,0.99956
1,2.1081e-05,0.99998
1,3.3863e-05,0.99997
3,0.00032275,0.99968
3,0.00028395,0.99972
2,0.00019764,0.9998
2,0.00013897,0.99986
3,0.00018864,0.99981
1,5.5559e-05,0.99994
2,4.6151e-05,0.99995
3,0.00016413,0.99984
3,0.00011256,0.99989
2,3.6029e-05,0.99996
2,0.99544,0.00455805
3,0.00034328,0.99966
3,0.00018494,0.99982
1,3.2291e-05,0.99997
2,0.00011605,0.99988
2,0.00019311,0.99981
3,0.00033411,0.99967
1,2.3172e-05,0.99998
3,0.00033251,0.99967
1,6.2502e-05,0.99994
3,0.99515,0.00484967
2,0.99496,0.00504
3,0.00019396,0.99981
3,0.00035594,0.99964
2,0.0001546,0.99985
1,5.5077e-05,0.99994
2,0.00020077,0.9998
2,0.9949,0.0051
1,1.8538e-05,0.99998
3,0.00020735,0.99979
3,0.00027607,0.99972
2,0.00010985,0.99989
1,3.9082e-05,0.99996
6,9.8714e-05,0.9999
1,5.0256e-05,0.99995
3,0.00017486,0.99983
3,0.00010943,0.99989
2,0.00019683,0.9998
2,0.00019519,0.9998
3,0.00033411,0.99967
3,0.00019771,0.9998
1,5.5077e-05,0.99994
6,0.00025751,0.99974
3,0.00018558,0.99981
1,3.2288e-05,0.99997
3,0.99671,0.00329379
2,0.00010736,0.99989
3,0.00019547,0.9998
3,0.00016883,0.99983
3,0.00027607,0.99972
3,0.9968,0.00320374
3,0.00017865,0.99982
2,0.00019313,0.99981
2,0.00010736,0.99989
3,0.00026692,0.99973
1,2.1307e-05,0.99998
1,5.0408e-05,0.99995
3,0.99143,0.00857
1,9.0056e-05,0.99991
2,0.00011065,0.99989
1,7.4811e-05,0.99993
2,0.00013897,0.99986
1,3.0508e-05,0.99997
3,0.00012373,0.99988
3,6.8225e-05,0.99993
3,0.00026028,0.99974
2,0.0001933,0.99981
2,6.9988e-05,0.99993
1,0.98049,0.01951
2,0.00019864,0.9998
2,4.4033e-05,0.99996
1,0.00010183,0.9999
3,0.00010545,0.99989
3,0.00027008,0.99973
3,9.8983e-05,0.9999
2,0.00012982,0.99987
3,7.2936e-05,0.99993
2,0.00011743,0.99988
3,0.99631,0.00368792
2,0.00010386,0.9999
1,0.000109,0.99989
1,0.00010231,0.9999
2,4.0816e-05,0.99996
3,0.00020735,0.99979
3,0.00015435,0.99985
1,0.00012303,0.99988
3,0.00031726,0.99968
2,8.381e-05,0.99992
3,5.5353e-05,0.99994
1,3.1329e-05,0.99997
3,0.00019771,0.9998
3,7.5683e-05,0.99992
2,0.0001747,0.99983
4,0.00040183,0.9996
2,0.00011604,0.99988
2,0.00021042,0.99979
3,0.00016413,0.99984
3,7.0795e-05,0.99993
1,5.5613e-05,0.99994
1,9.8837e-05,0.9999
1,3.0307e-05,0.99997
3,5.694e-05,0.99994
2,0.00011703,0.99988
3,0.99411,0.00589
2,7.8291e-05,0.99992
2,0.00019864,0.9998
3,0.99061,0.00939
1,9.6126e-05,0.9999
3,0.00016883,0.99983
3,0.99808,0.00191647
5,7.9073e-05,0.99992
3,9.8992e-05,0.9999
2,0.00012511,0.99987
3,0.00010848,0.99989
3,0.0001106,0.99989
3,0.00030251,0.9997
2,4.3568e-05,0.99996
3,0.00028395,0.99972
3,0.00016413,0.99984
3,0.00029408,0.99971
3,0.00018864,0.99981
2,0.00019751,0.9998
1,6.282e-05,0.99994
2,7.1226e-05,0.99993
3,0.00027607,0.99972
3,0.00015435,0.99985
3,0.00033251,0.99967
2,0.99499,0.00501
2,0.00019311,0.99981
2,0.00011811,0.99988
2,6.2639e-05,0.99994
2,7.0576e-05,0.99993
3,0.00018864,0.99981
3,9.3087e-05,0.99991
2,7.8291e-05,0.99992
2,9.3852e-05,0.99991
3,0.00027871,0.99972
3,0.00015005,0.99985
2,0.00013897,0.99986
2,0.99482,0.00518
1,9.8837e-05,0.9999
1,0.00010183,0.9999
1,0.00010566,0.99989
3,0.00041087,0.99959
1,3.1329e-05,0.99997
1,5.0261e-05,0.99995
3,0.00031211,0.99969
3,0.9968,0.00320374
2,0.00019143,0.99981
3,0.00033251,0.99967
3,0.00031104,0.99969
3,5.8546e-05,0.99994
1,3.7884e-05,0.99996
1,3.7884e-05,0.99996
3,0.00015005,0.99985
3,0.00028395,0.99972
2,0.00011065,0.99989
2,0.00019517,0.9998
1,0.98902,0.01098
3,0.00031211,0.99969
1,5.7762e-05,0.99994
3,0.00035594,0.99964
3,0.00017488,0.99983
2,0.00019864,0.9998
2,0.00021834,0.99978
3,0.00025239,0.99975
3,0.00011256,0.99989
1,9.8837e-05,0.9999
1,5.0408e-05,0.99995
2,0.00018612,0.99981
1,3.3214e-05,0.99997
2,0.00019313,0.99981
3,0.00010848,0.99989
2,0.99378,0.00622
3,0.99673,0.00326528
3,0.00030842,0.99969
5,0.00035434,0.99965
6,8.0376e-05,0.99992
3,0.00010232,0.9999
3,0.00018145,0.99982
1,0.98941,0.01059
3,0.00016883,0.99983
3,0.00031726,0.99968
1,4.7263e-05,0.99995
1,3.2288e-05,0.99997
1,8.3703e-05,0.99992
1,5.8763e-05,0.99994
2,0.00019143,0.99981
1,3.7884e-05,0.99996
1,5.0256e-05,0.99995
3,0.00030845,0.99969
2,0.00010684,0.99989
2,0.00011811,0.99988
2,4.2358e-05,0.99996
3,0.00019771,0.9998
2,0.00012511,0.99987
3,0.00031104,0.99969
2,0.00011743,0.99988
3,0.99111,0.00889
3,0.00030516,0.99969
3,0.00033251,0.99967
2,0.00011604,0.99988
2,0.00012274,0.99988
1,4.7263e-05,0.99995
3,0.00030516,0.99969
2,0.00010684,0.99989
5,0.0003474,0.99965
1,5.3547e-05,0.99995
2,3.5025e-05,0.99996
1,5.9391e-05,0.99994
2,0.00019517,0.9998
2,0.00011066,0.99989
3,0.00035594,0.99964
2,9.4951e-05,0.99991
2,0.98429,0.01571
3,0.99649,0.00350838
3,0.00016966,0.99983
3,0.0001857,0.99981
3,0.00029196,0.99971
3,0.00017488,0.99983
2,0.00019143,0.99981
2,6.9242e-05,0.99993
1,1.7434e-05,0.99998
3,0.00018864,0.99981
4,0.00034484,0.99966
3,0.00011924,0.99988
1,4.8595e-05,0.99995
1,7.4811e-05,0.99993
2,0.99495,0.00505
3,6.8853e-05,0.99993
2,0.00019517,0.9998
3,0.00017486,0.99983
3,0.00016883,0.99983
1,5.8763e-05,0.99994
1,8.9404e-05,0.99991
3,0.00029408,0.99971
2,0.00011065,0.99989
2,0.00018612,0.99981
1,5.3547e-05,0.99995
3,0.00018339,0.99982
1,5.7151e-05,0.99994
1,9.0056e-05,0.99991
4,0.00037275,0.99963
3,0.00029196,0.99971
2,0.00019143,0.99981
2,4.0816e-05,0.99996
3,0.00016883,0.99983
1,0.00010183,0.9999
2,0.00017466,0.99983
3,0.00021962,0.99978
3,8.1766e-05,0.99992
1,9.6126e-05,0.9999
1,5.5613e-05,0.99994
3,0.00017486,0.99983
2,0.00012511,0.99987
3,0.00018558,0.99981
1,9.0064e-05,0.99991
3,0.00015005,0.99985
3,0.00018339,0.99982
1,9.3448e-05,0.99991
2,4.317e-05,0.99996
2,4.1986e-05,0.99996
2,0.00019864,0.9998
3,0.00018054,0.99982
2,0.9949,0.0051
1,9.6126e-05,0.9999
2,0.00011937,0.99988
5,0.00028995,0.99971
2,0.00012571,0.99987
2,0.00014134,0.99986
3,0.00019771,0.9998
3,0.9909,0.0091
2,0.00010386,0.9999
3,0.00024431,0.99976
1,8.4008e-05,0.99992
1,8.6952e-05,0.99991
3,6.6354e-05,0.99993
3,0.00025237,0.99975
3,0.00019094,0.99981
2,0.00020077,0.9998
2,0.00011382,0.99989
2,0.00020077,0.9998
3,0.0003139,0.99969
2,0.00015971,0.99984
3,0.0003139,0.99969
3,0.00017486,0.99983
1,5.5559e-05,0.99994
3,0.00016883,0.99983
3,6.8853e-05,0.99993
1,5.3155e-05,0.99995
3,0.00033411,0.99967
1,8.9404e-05,0.99991
1,8.1736e-05,0.99992
3,6.4505e-05,0.99994
3,0.00018145,0.99982
5,0.00058762,0.99941
2,0.99236,0.00764
